X	Filt_0	Filt_1	Filt_2	Filt_3	Filt_4	Filt_5	Filt_6	Filt_7	Filt_8	Filt_9	Filt_10	Filt_11	Filt_12	Filt_13	Filt_14	Filt_15	Filt_16	Filt_17	Filt_18	Filt_19	Filt_20	Filt_21	Filt_22	Filt_23	Filt_24	Filt_25	Filt_26	Filt_27	Filt_28	Filt_29	Filt_30	Filt_31	Filt_32	Filt_33	Filt_34	Filt_35	Filt_36	Filt_37	Filt_38	Filt_39	Filt_40	Filt_41	Filt_42	Filt_43	Filt_44	Filt_45	Filt_46	Filt_47	Filt_48	Filt_49
// index	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.
0.0000	-0.080633	-0.063132	-0.070589	-0.102896	-0.159268	-0.131550	-0.118525	-0.101104	-0.108949	-0.124979	-0.099372	-0.093320	-0.086629	-0.088750	-0.154596	-0.107191	-0.093366	-0.119045	-0.183423	-0.044173	-0.121318	-0.193146	-0.066704	-0.036302	-0.204207	-0.102246	-0.106732	-0.093762	-0.184046	-0.052576	-0.191939	-0.258820	-0.113970	-0.058858	-0.064587	-0.180292	-0.078047	-0.126804	-0.117680	-0.116403	-0.142755	-0.089170	-0.153087	-0.127128	-0.045685	-0.175257	-0.050144	-0.049070	-0.047211	-0.125211
1.0000	-0.105324	-0.126663	-0.103762	-0.135196	-0.196847	-0.184525	-0.159200	-0.112151	-0.115316	-0.157654	-0.098755	-0.100115	-0.117687	-0.108095	-0.189420	-0.133776	-0.118051	-0.158209	-0.235274	-0.047998	-0.187258	-0.258543	-0.081747	-0.093929	-0.233676	-0.131742	-0.158567	-0.151811	-0.232189	-0.076611	-0.213660	-0.322059	-0.162417	-0.084584	-0.095253	-0.216567	-0.126928	-0.169341	-0.154869	-0.139686	-0.183449	-0.131867	-0.235558	-0.153307	-0.090259	-0.224421	-0.072136	-0.079500	-0.089345	-0.168715
2.0000	-0.120341	-0.195823	-0.140972	-0.147604	-0.211817	-0.220565	-0.195303	-0.108691	-0.104822	-0.174929	-0.077780	-0.092494	-0.145430	-0.121477	-0.203528	-0.159508	-0.135497	-0.194251	-0.270377	-0.050626	-0.243192	-0.297630	-0.087236	-0.163941	-0.227252	-0.154255	-0.209264	-0.204854	-0.258105	-0.106440	-0.207074	-0.344136	-0.198539	-0.110601	-0.124955	-0.228355	-0.176037	-0.198145	-0.187035	-0.149315	-0.211278	-0.163043	-0.301453	-0.161640	-0.143065	-0.253325	-0.095852	-0.108924	-0.141599	-0.200943
3.0000	-0.125727	-0.253624	-0.181911	-0.138511	-0.210532	-0.232309	-0.228534	-0.097603	-0.090695	-0.178942	-0.047726	-0.076564	-0.168144	-0.131489	-0.198381	-0.184132	-0.148666	-0.226552	-0.291439	-0.057133	-0.276822	-0.307060	-0.086465	-0.229467	-0.195566	-0.170579	-0.249858	-0.239917	-0.262734	-0.141219	-0.186742	-0.327087	-0.216642	-0.136533	-0.149199	-0.222788	-0.218081	-0.211229	-0.213539	-0.151976	-0.224398	-0.181444	-0.334005	-0.158504	-0.199209	-0.259726	-0.122637	-0.132765	-0.196509	-0.216831
4.0000	-0.126359	-0.286780	-0.222892	-0.117107	-0.204427	-0.224475	-0.260535	-0.086819	-0.087640	-0.178104	-0.024606	-0.059851	-0.184298	-0.140053	-0.181575	-0.203161	-0.161804	-0.253133	-0.305203	-0.067960	-0.285958	-0.293729	-0.086862	-0.273538	-0.157660	-0.183698	-0.274041	-0.251043	-0.253074	-0.178199	-0.169901	-0.285624	-0.219910	-0.161182	-0.164088	-0.210527	-0.248893	-0.213660	-0.232489	-0.157190	-0.223826	-0.195187	-0.332613	-0.156370	-0.254395	-0.248012	-0.152509	-0.149981	-0.243278	-0.213860
5.0000	-0.128596	-0.291094	-0.257190	-0.095562	-0.197426	-0.208268	-0.289285	-0.080832	-0.103337	-0.181782	-0.021623	-0.049312	-0.193117	-0.148910	-0.161632	-0.214260	-0.177798	-0.271573	-0.317041	-0.079808	-0.275495	-0.265001	-0.095627	-0.287237	-0.128453	-0.198126	-0.281994	-0.239115	-0.237001	-0.214731	-0.163608	-0.234064	-0.213884	-0.182864	-0.168502	-0.194768	-0.266758	-0.213260	-0.241760	-0.169801	-0.212114	-0.211919	-0.307118	-0.164033	-0.302878	-0.227555	-0.182674	-0.162441	-0.272361	-0.192965
6.0000	-0.136416	-0.273268	-0.279104	-0.083341	-0.186172	-0.192716	-0.309853	-0.080143	-0.136623	-0.195351	-0.045167	-0.050256	-0.194679	-0.159942	-0.144288	-0.218509	-0.197188	-0.281511	-0.328106	-0.090075	-0.252616	-0.226878	-0.116767	-0.272661	-0.114937	-0.216783	-0.279076	-0.209623	-0.220586	-0.246437	-0.163567	-0.181625	-0.202012	-0.201020	-0.164884	-0.172438	-0.273082	-0.215883	-0.239526	-0.188070	-0.191911	-0.233989	-0.269459	-0.181457	-0.338434	-0.208559	-0.208926	-0.173143	-0.280344	-0.160167
7.0000	-0.151317	-0.245738	-0.286664	-0.084948	-0.168463	-0.180699	-0.318034	-0.083349	-0.180800	-0.217557	-0.094246	-0.063979	-0.189484	-0.174700	-0.132375	-0.218480	-0.218393	-0.285191	-0.334637	-0.099007	-0.224254	-0.185861	-0.148773	-0.238497	-0.117867	-0.238040	-0.271880	-0.170554	-0.206743	-0.266897	-0.161861	-0.134415	-0.188141	-0.215016	-0.157878	-0.143875	-0.272603	-0.222875	-0.224301	-0.207598	-0.166378	-0.257845	-0.230682	-0.202161	-0.357104	-0.196629	-0.227985	-0.183743	-0.271162	-0.125356
8.0000	-0.174059	-0.218312	-0.281235	-0.099856	-0.147153	-0.170774	-0.312373	-0.089125	-0.228790	-0.242055	-0.161214	-0.086526	-0.178511	-0.193651	-0.127097	-0.217296	-0.238368	-0.284768	-0.330872	-0.108872	-0.196842	-0.148593	-0.183699	-0.195955	-0.133818	-0.257141	-0.264735	-0.130646	-0.194715	-0.271457	-0.153361	-0.098616	-0.177076	-0.222876	-0.152127	-0.117430	-0.270603	-0.231486	-0.197482	-0.225922	-0.139972	-0.275630	-0.199759	-0.219086	-0.357953	-0.192378	-0.238911	-0.193131	-0.253634	-0.098070
