X	Raw_0	Raw_1	Raw_2	Raw_3	Raw_4	Raw_5	Raw_6	Raw_7	Raw_8	Raw_9	Raw_10	Raw_11	Raw_12	Raw_13	Raw_14	Raw_15	Raw_16	Raw_17	Raw_18	Raw_19	Raw_20	Raw_21	Raw_22	Raw_23	Raw_24	Raw_25	Raw_26	Raw_27	Raw_28	Raw_29	Raw_30	Raw_31	Raw_32	Raw_33	Raw_34	Raw_35	Raw_36	Raw_37	Raw_38	Raw_39	Raw_40	Raw_41	Raw_42	Raw_43	Raw_44	Raw_45	Raw_46	Raw_47	Raw_48	Raw_49
// index	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.
0.0000	-0.095493	0.110801	-0.155100	0.001620	-0.208606	-0.063787	-0.243014	-0.276403	-0.281301	-0.205985	-0.284469	-0.287528	-0.190910	-0.272158	-0.318494	-0.441850	-0.207471	-0.332908	-0.346111	-0.191489	0.019220	-0.116070	-0.095327	0.124112	-0.374124	-0.243114	-0.187884	0.026417	-0.319536	-0.196943	-0.493751	-0.312604	-0.056146	-0.097166	-0.095505	-0.348384	-0.008281	-0.160575	-0.294227	-0.251949	-0.322349	0.103591	0.062924	-0.228559	0.062211	-0.313117	-0.093511	0.008379	-0.032111	-0.192567
1.0000	-0.192730	-0.174907	-0.059283	-0.369893	-0.422278	-0.299206	-0.150715	-0.120414	-0.234685	-0.226966	-0.134651	-0.066802	-0.061043	-0.022610	-0.177242	0.166833	-0.124171	0.016320	-0.290291	-0.007509	-0.310487	-0.562643	-0.165487	-0.110678	-0.442586	-0.077167	-0.034028	-0.213524	-0.311920	0.086863	-0.266577	-0.642768	-0.263260	-0.099318	-0.076726	-0.326712	-0.184923	-0.238564	-0.069142	-0.187372	-0.091259	-0.449633	-0.413992	-0.241925	-0.182194	-0.242092	-0.085233	-0.128917	-0.060112	-0.188027
2.0000	-0.076857	-0.313899	-0.424421	-0.207947	-0.114127	-0.414163	-0.215144	-0.058675	0.017179	-0.366029	-0.423082	-0.146769	-0.460413	-0.135761	-0.295660	-0.275756	-0.140546	-0.032130	-0.039379	-0.502698	-0.591044	-0.252829	-0.080870	-0.396314	-0.231830	-0.187755	-0.281031	-0.274768	-0.202225	-0.155733	0.021027	-0.194558	-0.096461	-0.286527	-0.113985	-0.073757	-0.193461	-0.408678	-0.269889	-0.092893	-0.379430	-0.139592	-0.182995	-0.330228	-0.123033	-0.290319	-0.151098	-0.227506	-0.201702	-0.043536
3.0000	0.052396	-0.370300	-0.094554	-0.016373	-0.078979	0.147303	-0.325955	-0.049834	-0.054549	-0.192895	0.096888	-0.111615	0.021687	-0.452966	-0.343165	0.139307	0.013315	-0.311147	-0.006525	0.054114	-0.302117	-0.280701	-0.239669	-0.393094	-0.140945	-0.016743	-0.402050	-0.364183	-0.228961	-0.063046	-0.386288	-0.347350	-0.306115	-0.037964	-0.478168	0.086612	-0.406538	-0.346307	-0.199500	0.129472	0.088666	-0.079805	-0.419465	-0.025553	-0.335500	-0.304739	-0.033492	-0.139991	-0.349715	-0.282230
4.0000	-0.213259	-0.193904	-0.277530	-0.160195	-0.250614	-0.347854	-0.186198	-0.352952	-0.016860	-0.072693	0.002847	0.026636	-0.167234	-0.040180	-0.139337	-0.216567	-0.457428	-0.348054	-0.279287	-0.009780	-0.339607	-0.321244	0.155597	0.010670	0.241711	-0.191908	-0.404981	-0.261388	-0.271246	-0.163162	-0.057288	-0.169150	-0.279210	0.006041	-0.308169	-0.264746	-0.220854	-0.184043	-0.075120	-0.211404	-0.294276	-0.166810	-0.535108	-0.095866	-0.099042	-0.009444	-0.002408	0.097700	-0.101526	-0.243042
5.0000	-0.215364	-0.479487	-0.094653	-0.057738	0.055855	-0.054795	-0.058300	-0.022451	-0.385549	-0.140546	0.232273	-0.050564	-0.241967	-0.152513	-0.148332	-0.231381	-0.163395	-0.127688	-0.291826	-0.249208	-0.252153	-0.242519	0.042595	-0.300664	-0.097942	-0.298548	-0.299699	-0.390598	-0.284460	-0.280343	-0.010143	-0.424011	-0.013505	-0.219238	-0.184696	-0.118320	-0.329833	-0.040330	-0.276516	0.085137	-0.213793	-0.164836	-0.290379	-0.056431	-0.236330	-0.427845	-0.425323	-0.311512	-0.332936	-0.352234
6.0000	0.054502	-0.377409	-0.296869	-0.089581	-0.366245	-0.177690	-0.325489	-0.329223	0.049820	-0.040162	0.018375	0.045453	-0.195765	0.026230	-0.064949	-0.219479	-0.010453	-0.309029	-0.280212	-0.100871	-0.045985	-0.351316	-0.068014	-0.414817	0.080460	0.023631	-0.083432	0.131284	-0.138598	-0.518667	-0.186631	-0.169943	-0.090318	-0.337191	-0.109297	-0.361235	-0.251958	0.069963	-0.267783	-0.476196	-0.132788	-0.211058	-0.120555	-0.441312	-0.361473	-0.156075	-0.189689	-0.177749	-0.296150	-0.014056
7.0000	-0.069432	0.046913	-0.455279	0.008393	-0.404203	-0.146851	-0.327588	-0.062941	-0.298758	-0.293829	-0.353995	-0.172551	-0.190183	-0.165959	-0.249216	-0.244665	-0.199245	-0.169174	-0.425311	-0.184075	0.044403	-0.152264	-0.475784	-0.034470	-0.191170	-0.136878	-0.247967	-0.187912	0.022094	-0.153729	-0.397767	-0.246784	-0.467573	-0.169505	-0.069451	-0.323895	-0.349275	-0.212122	-0.095797	-0.162293	-0.269350	-0.354513	-0.304214	-0.208615	-0.365697	-0.106685	-0.222720	-0.084056	-0.331459	-0.144634
8.0000	-0.257166	0.011745	-0.430876	-0.027413	-0.153077	-0.186977	-0.347132	-0.106468	-0.157900	-0.378453	-0.086447	0.055024	-0.446425	-0.305501	-0.125536	0.191915	-0.329435	-0.259169	-0.377456	-0.002246	-0.550382	-0.071762	-0.095841	-0.258105	-0.102809	-0.286274	-0.156067	-0.195437	-0.188382	-0.303085	-0.204972	0.038549	-0.242878	0.137267	-0.165106	-0.016915	-0.254081	-0.294276	-0.315404	-0.236858	-0.165233	-0.384561	-0.127380	-0.228761	-0.370547	-0.259358	-0.272656	-0.148661	-0.207520	-0.091162
