Epoch,Train_Loss,Test_Loss,Test_MAE_ppm
1,0.132357,0.130569,1604.6
2,0.118167,0.121649,1501.6
3,0.107528,0.124711,1464.6
4,0.108048,0.122974,1471.9
5,0.107793,0.121702,1477.9
6,0.108467,0.121153,1480.1
7,0.107375,0.123489,1456.4
8,0.107172,0.12087,1473.3
9,0.10705,0.120802,1469.4
10,0.106982,0.120664,1466.7
11,0.106983,0.121108,1458.4
12,0.106585,0.120219,1463.0
13,0.106641,0.1201,1460.9
14,0.106459,0.119687,1461.4
15,0.106514,0.120418,1450.9
16,0.106318,0.118959,1461.4
17,0.106244,0.119405,1452.2
18,0.105994,0.118802,1456.9
19,0.106253,0.119116,1449.0
20,0.105742,0.118743,1448.8
21,0.105692,0.11925,1441.0
22,0.10561,0.117482,1455.1
23,0.105252,0.118246,1441.0
24,0.105394,0.118102,1438.3
25,0.104877,0.11699,1446.0
26,0.104675,0.117863,1433.0
27,0.104124,0.115889,1446.5
28,0.104039,0.116503,1433.3
29,0.103555,0.117135,1424.8
30,0.103166,0.115673,1429.4
31,0.102594,0.11586,1418.4
32,0.102495,0.113647,1439.4
33,0.102305,0.114534,1418.3
34,0.10112,0.1139,1418.9
35,0.102179,0.118146,1387.7
36,0.099981,0.112596,1421.4
37,0.100074,0.113663,1403.8
38,0.099274,0.114647,1390.7
39,0.098638,0.112804,1399.7
40,0.097872,0.113415,1388.2
41,0.097728,0.111896,1392.4
42,0.096834,0.113326,1375.7
43,0.09647,0.1121,1381.3
44,0.095707,0.112299,1372.3
45,0.095373,0.113011,1363.2
46,0.094375,0.111779,1368.2
47,0.09451,0.113833,1355.9
48,0.093535,0.111927,1366.1
49,0.093283,0.110959,1381.5
50,0.093401,0.114239,1351.7
51,0.091938,0.111526,1380.3
52,0.09245,0.111763,1376.8
53,0.091477,0.112713,1365.9
54,0.090658,0.113407,1361.2
55,0.090352,0.113517,1361.0
56,0.091008,0.112138,1377.4
57,0.089764,0.116622,1345.2
58,0.089894,0.114487,1354.4
59,0.089508,0.115215,1350.2
60,0.088961,0.114793,1353.5
61,0.088434,0.113845,1360.4
62,0.088197,0.113653,1361.4
63,0.087806,0.114708,1353.8
64,0.087708,0.113832,1360.8
65,0.087678,0.115778,1348.8
66,0.08738,0.114035,1360.8
67,0.087279,0.114509,1356.7
68,0.087105,0.114476,1356.8
69,0.086724,0.115739,1349.7
70,0.086568,0.115048,1353.2
71,0.086434,0.115346,1351.6
72,0.086585,0.115023,1353.6
73,0.086123,0.115179,1352.5
74,0.086038,0.115513,1351.2
75,0.085996,0.115717,1350.0
76,0.086044,0.115124,1353.6
77,0.08564,0.115494,1351.6
78,0.085642,0.115436,1351.9
79,0.085762,0.115882,1349.7
80,0.085527,0.114907,1355.7
81,0.085338,0.115941,1349.4
82,0.085401,0.115639,1351.1
83,0.085267,0.115325,1352.8
84,0.085278,0.115503,1352.1
85,0.085123,0.115836,1350.3
86,0.085147,0.115645,1351.4
87,0.085082,0.115915,1349.9
88,0.085044,0.115723,1351.0
89,0.085053,0.115544,1352.1
90,0.085015,0.115708,1351.1
91,0.085016,0.115591,1351.8
92,0.085042,0.115894,1350.0
93,0.085002,0.115742,1351.0
94,0.084955,0.115835,1350.4
95,0.084922,0.115773,1350.8
96,0.084934,0.11571,1351.2
97,0.084913,0.115733,1351.0
98,0.08491,0.115743,1351.0
99,0.084909,0.11574,1351.0
100,0.084908,0.115741,1351.0
